user_id;Rodada_Eliminacao;Jogador;tournament_id
36;F;91;1
36;QF;17;1
36;QF;77;1
36;QF;121;1
36;R4;48;1
36;SF;1;1
36;SF;92;1
37;F;91;1
37;QF;17;1
37;QF;63;1
37;QF;77;1
37;QF;121;1
37;SF;1;1
37;SF;92;1
38;QF;121;1
38;R1;20;1
38;R1;79;1
38;R2;52;1
38;R3;105;1
38;R4;67;1
39;F;91;1
39;QF;17;1
39;QF;63;1
39;QF;77;1
39;QF;121;1
39;SF;1;1
39;SF;92;1
40;F;91;1
40;QF;17;1
40;QF;63;1
40;QF;77;1
40;QF;121;1
40;SF;1;1
40;SF;92;1
