Position,QF
QF1,Novak Djokovic (SRB) [1]
QF2,Taylor Fritz (USA) [12]
QF3,Jannik Sinner (ITA) [4]
QF4,Andrey Rublev (RUS) [5]
QF5,Hubert Hurkacz (POL) [9]
QF6,Daniil Medvedev (RUS) [3]
QF7,Alexander Zverev (GER) [6]
QF8,Carlos Alcaraz (ESP) [2]
