Position,R4
R4_1,Novak Djokovic (SRB) [1]
R4_2,Adrian Mannarino (FRA) [20]
R4_3,Taylor Fritz (USA) [12]
R4_4,Stefanos Tsitsipas (GRE) [7]
R4_5,Jannik Sinner (ITA) [4]
R4_6,Karen Khachanov (RUS) [15]
R4_7,Alex de Minaur (AUS) [10]
R4_8,Andrey Rublev (RUS) [5]
R4_9,Arthur Cazaux (FRA) [WC]
R4_10,Hubert Hurkacz (POL) [9]
R4_11,Nuno Borges (POR)
R4_12,Daniil Medvedev (RUS) [3]
R4_13,Alexander Zverev (GER) [6]
R4_14,Cameron Norrie (GBR) [19]
R4_15,Miomir Kecmanovic (SRB)
R4_16,Carlos Alcaraz (ESP) [2]
