Position,R4
R4_1,Thiago Monteiro (BRA) [WC]
R4_2,Felipe Meligeni Alves (BRA) [Q]
R4_3,Facundo Diaz Acosta (ARG)
R4_4,Sebastian Baez (ARG) [5]
R4_5,Francisco Cerundolo (ARG) [4]
R4_6,Juan Pablo Varillas (PER)
R4_7,Dusan Lajovic (SRB)
R4_8,Laslo Djere (SRB) [6]
R4_9,Joao Fonseca (BRA) [WC]
R4_10,Cristian Garin (CHI)
R4_11,Mariano Navone (ARG) [Q]
R4_12,Yannick Hanfmann (GER)
R4_13,Jaume Munar (ESP)
R4_14,Thiago Seyboth Wild (BRA)
R4_15,Tomas Barrios Vera (CHI)
R4_16,Cameron Norrie (GBR) [2]
