Position,R1
R1_1,Carlos Alcaraz (ESP) [1]
R1_2,Thiago Monteiro (BRA) [WC]
R1_3,Felipe Meligeni Alves (BRA) [Q]
R1_4,Pedro Cachin (ARG)
R1_5,Facundo Diaz Acosta (ARG)
R1_6,Stan Wawrinka (SUI)
R1_7,Corentin Moutet (FRA) [Q]
R1_8,Sebastian Baez (ARG) [5]
R1_9,Francisco Cerundolo (ARG) [4]
R1_10,Francisco Comesana (ARG) [Q]
R1_11,Juan Pablo Varillas (PER)
R1_12,Albert Ramos-Vinolas (ESP)
R1_13,Dusan Lajovic (SRB)
R1_14,Daniel Elahi Galan (COL)
R1_15,Bernabe Zapata Miralles (ESP)
R1_16,Laslo Djere (SRB) [6]
R1_17,Arthur Fils (FRA) [7]
R1_18,Joao Fonseca (BRA) [WC]
R1_19,Roberto Carballes Baena (ESP)
R1_20,Cristian Garin (CHI)
R1_21,Federico Coria (ARG)
R1_22,Mariano Navone (ARG) [Q]
R1_23,Yannick Hanfmann (GER)
R1_24,Nicolas Jarry (CHI) [3]
R1_25,Sebastian Ofner (AUT) [8]
R1_26,Jaume Munar (ESP)
R1_27,Alejandro Tabilo (CHI)
R1_28,Thiago Seyboth Wild (BRA)
R1_29,Gustavo Heide (BRA) [WC]
R1_30,Tomas Barrios Vera (CHI)
R1_31,Hugo Dellien (BOL)
R1_32,Cameron Norrie (GBR) [2]
