Position,R3
R3_1,Carlos Alcaraz (ESP) [1]
R3_2,Thiago Monteiro (BRA) [WC]
R3_3,Felipe Meligeni Alves (BRA) [Q]
R3_4,Pedro Cachin (ARG)
R3_5,Facundo Diaz Acosta (ARG)
R3_6,Stan Wawrinka (SUI)
R3_7,Corentin Moutet (FRA) [Q]
R3_8,Sebastian Baez (ARG) [5]
R3_9,Francisco Cerundolo (ARG) [4]
R3_10,Francisco Comesana (ARG) [Q]
R3_11,Juan Pablo Varillas (PER)
R3_12,Albert Ramos-Vinolas (ESP)
R3_13,Dusan Lajovic (SRB)
R3_14,Daniel Elahi Galan (COL)
R3_15,Bernabe Zapata Miralles (ESP)
R3_16,Laslo Djere (SRB) [6]
R3_17,Arthur Fils (FRA) [7]
R3_18,Joao Fonseca (BRA) [WC]
R3_19,Roberto Carballes Baena (ESP)
R3_20,Cristian Garin (CHI)
R3_21,Federico Coria (ARG)
R3_22,Mariano Navone (ARG) [Q]
R3_23,Yannick Hanfmann (GER)
R3_24,Nicolas Jarry (CHI) [3]
R3_25,Sebastian Ofner (AUT) [8]
R3_26,Jaume Munar (ESP)
R3_27,Alejandro Tabilo (CHI)
R3_28,Thiago Seyboth Wild (BRA)
R3_29,Gustavo Heide (BRA) [WC]
R3_30,Tomas Barrios Vera (CHI)
R3_31,Hugo Dellien (BOL)
R3_32,Cameron Norrie (GBR) [2]
